PublicationDate,URL
2026-04-10,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON597
2025-12-05,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON590
2025-07-05,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON575
2025-04-17,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON564
2026-07-10,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260710.pdf
2026-07-03,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260703.pdf
2026-06-26,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260626.pdf
2026-06-22,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260619.pdf
2026-06-08,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260606.pdf
2026-06-01,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260529.pdf
2026-05-22,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260522.pdf
2026-05-18,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/avian-influenza/ai_20260515.pdf
2024-07-29,https://www.who.int/news/item/29-07-2024-new-initiative-launched-to-advance-mrna-vaccine-development-against-human-avian-influenza-(h5n1)
2024-03-30,https://www.who.int/news/item/30-03-2024-2023--outbreaks-of-avian-influenza
2024-02-01,https://www.who.int/news/item/01-02-2024-avian-influenza-and-lunar-new-year-festivities--vigilance-and-precautions
